contributor,bothunter_type
AtreyeeS,Human
EwoutH,Human
GPUtester,Human
JuliaTagBot,Bot
MarcSkovMadsen,Human
Sauravroy34,Human
WarrenWeckesser,Human
ammar-qazi,Human
awvwgk,Human
bioc-workshop-dev,Human
braingram,Human
codecov-commenter,Bot
codecov[bot],Bot
codspeed-hq[bot],Bot
conda-bot,Human
crvernon,Human
droumis,Human
flying-sheep,Human
github-actions[bot],Bot
github-advanced-security[bot],Bot
helske,Human
jaimergp,Human
jonathanfischer97,Human
katrinabrock,Human
likeajumprope,Human
martin-frbg,Human
mira-miracoli,Human
natmokval,Human
netlify[bot],Bot
ottointhesky,Human
ppxasjsm,Human
pre-commit-ci[bot],Bot
renovate[bot],Bot
saimn,Human
speth,Human
stan-buildbot,Bot
tardis-bot,Human
tkoyama010,Human
wpbonelli,Human
zeptodoctor,Human
