login,PR,commit,issue,repo,unknown,acc_type
0-wiz-0,0.0,0.0,1.0,0.0,0.0,
0010ru,0.0,0.0,0.0,2.0,0.0,
00wanzi,0.0,0.0,0.0,1.0,0.0,
01-user,0.0,0.0,0.0,1.0,0.0,
01917392104,0.0,0.0,0.0,1.0,0.0,
01PrathamS,0.0,0.0,0.0,1.0,0.0,
020204,0.0,0.0,0.0,1.0,0.0,
03darius,1.0,0.0,0.0,0.0,0.0,
0631420856,0.0,0.0,0.0,1.0,0.0,
0815Creeper,0.0,0.0,1.0,0.0,0.0,
098765d,0.0,0.0,0.0,1.0,0.0,
0Albiere,0.0,0.0,0.0,1.0,0.0,
0JA,0.0,0.0,0.0,1.0,0.0,
0RPH3ANUNC,0.0,0.0,0.0,1.0,0.0,
0Unkn0wn,0.0,0.0,0.0,1.0,0.0,
0Z17,0.0,0.0,0.0,1.0,0.0,
0bs01ete,0.0,0.0,1.0,1.0,0.0,
0joseDark,0.0,0.0,0.0,1.0,0.0,
0todd0000,0.0,0.0,3.0,0.0,0.0,
0tt049,0.0,0.0,0.0,1.0,0.0,
0x-CHUN,0.0,0.0,0.0,1.0,0.0,
0x0f0f0f,1.0,0.0,0.0,1.0,0.0,
0x1orz,0.0,0.0,4.0,1.0,0.0,
0x30,0.0,0.0,0.0,1.0,0.0,
0xAVX,0.0,0.0,0.0,2.0,0.0,
0xAquaWolf,0.0,0.0,0.0,1.0,0.0,
0xAryan,0.0,0.0,0.0,1.0,0.0,
0xFredZhang,0.0,0.0,0.0,1.0,0.0,
0xSheller,0.0,0.0,0.0,1.0,0.0,
0xVolt,0.0,0.0,0.0,1.0,0.0,
0xWarriorang,0.0,0.0,0.0,2.0,0.0,
0xconix,0.0,0.0,0.0,1.0,0.0,
0xf3cd,0.0,0.0,0.0,1.0,0.0,
0xhanh,0.0,0.0,0.0,1.0,0.0,
0xjavad,0.0,0.0,0.0,1.0,0.0,
0xsmarter,0.0,0.0,0.0,1.0,0.0,
1-Bart-1,0.0,0.0,5.0,0.0,0.0,
10-zin,0.0,0.0,0.0,1.0,0.0,
102898Is,0.0,0.0,1.0,0.0,0.0,
10e-6phisto,0.0,0.0,0.0,1.0,0.0,
10sharmashivam,0.0,0.0,1.0,4.0,0.0,
110CodingP,0.0,0.0,0.0,1.0,0.0,
