contributor,bothunter_type,github_api_type
DanielVandH,Human,User
Keno,Human,User
PhilipYip1988,Human,User
SylvainCorlay,Human,User
adrn,Human,User
allcontributors[bot],Bot,Bot
arfon,Human,User
bharatAmeria,Human,User
charlesm93,Human,User
davidpagnon,Human,User
editorialbot,Human,User
eriknw,Human,User
github-actions[bot],Bot,Bot
github-advanced-security[bot],Bot,Bot
goanpeca,Human,User
imagesc-bot,Bot,User
imincik,Human,User
jgabry,Human,User
juanitorduz,Human,User
krishanbhasin-px,Human,User
lumberbot-app[bot],Bot,Bot
m-richards,Human,User
mblue9,Human,User
meeseeksmachine,Bot,User
mergify[bot],Bot,Bot
mrocklin,Human,User
nanosoldier,Human,User
nstarman,Human,User
pangeo-bot,Bot,User
petscbot,Bot,User
phcerdan,Human,User
richard-burhans,Human,User
ropensci-review-bot,Human,User
scverse-bot,Bot,User
seberg,Human,User
tcmetzger,Human,User
transifex-integration[bot],Bot,Bot
veenstrajelmer,Human,User
welcome[bot],Bot,Bot
zacharyburnett,Human,User
